#f66c24,R01,LIGHT_BASTARD_AMBER
#f3a738,R02,BASTARD_AMBER
#fa8420,R03,DARK_BASTARD_AMBER
#fb8830,R04,MEDIUM_BASTARD_AMBER
#f9a662,R05,ROSE_TINT
#ecd05e,R06,NO_COLOR_STRAW
#f8d75a,R07,PALE_YELLOW
#edb147,R08,PALE_GOLD
#fba61a,R09,PALE_AMBER_GOLD
#fad700,R10,MEDIUM_YELLOW
#101b600,R11,LIGHT_STRAW
#f0c700,R12,STRAW
#f9ab04,R13,STRAW_TINT
#1009d00,R14,MEDIUM_STRAW
#10b8900,R15,DEEP_STRAW
#fb8d00,R16,LIGHT_AMBER
#f56900,R17,LIGHT_FLAME
#f56c00,R18,FLAME
#c60000,R19,FIRE
#fb6400,R20,MEDIUM_AMBER
#f13c00,R21,GOLDEN_AMBER
#d90a00,R22,DEEP_AMBER
#e62300,R23,ORANGE
#b80000,R24,SCARLET
#b10000,R25,ORANGE_RED
#760000,R26,LIGHT_RED
#310000,R27,MEDIUM_RED
#ef4818,R30,LIGHT_SALMON_PINK
#e84034,R31,SALMON_PINK
#dd1d11,R32,MEDIUM_SALMON_PINK
#ed8680,R33,NO_COLOR_PINK
#e64851,R34,FLESH_PINK
#ef8076,R35,LIGHT_PINK
#d36b89,R37,PALE_ROSE_PINK
#c16066,R38,LIGHT_ROSE
#5f0028,R39,SKELTON_EXOTIC_SANGRIA
#e92900,R40,LIGHT_SALMON
#cf0700,R41,SALMON
#830004,R42,DEEP_SALMON
#cc154d,R43,DEEP_PINK
#ba126a,R44,MIDDLE_ROSE
#650012,R45,ROSE
#3e0005,R46,MAGENTA
#260d39,R47,LIGHT_ROSE_PURPLE
#620f67,R48,ROSE_PURPLE
#300033,R49,MEDIUM_PURPLE
#5f0407,R50,MAUVE
#a37995,R51,SURPRISE_PINK
#6e4397,R52,LIGHT_LAVENDER
#ad9ba6,R53,PALE_LAVENDER
#8f73ac,R54,SPECIAL_LAVENDER
#50479c,R55,LILAC
#11007f,R56,GYPSY_LAVENDER
#38209f,R57,LAVENDER
#23097e,R58,DEEP_LAVENDER
#040027,R59,INDIGO
#6e80a6,R60,NO_COLOR_BLUE
#8c97a8,R61,MIST_BLUE
#4c729c,R62,BOOSTER_BLUE
#6a88ae,R63,PALE_BLUE
#17339f,R64,LIGHT_STEEL_BLUE
#1b53b9,R65,DAYLIGHT_BLUE
#72a7ad,R66,COOL_BLUE
#0c30b4,R67,LIGHT_SKY_BLUE
#0218ab,R68,SKY_BLUE
#002891,R69,BRILLIANT_BLUE
#2c6b9f,R70,NILE_BLUE
#0b4790,R71,SEA_BLUE
#0f62af,R72,AZURE_BLUE
#0c5684,R73,PEACOCK_BLUE
#000366,R74,NIGHT_BLUE
#00124b,R76,LIGHT_GREEN_BLUE
#001268,R77,GREEN_BLUE
#1f2aa8,R78,TRUDY_BLUE
#01088c,R79,BRIGHT_BLUE
#001191,R80,PRIMARY_BLUE
#071684,R81,URBAN_BLUE
#080a78,R82,SURPRISE_BLUE
#000463,R83,MEDIUM_BLUE
#071288,R84,ZEPHYR_BLUE
#00014a,R85,DEEP_BLUE
#419300,R86,PEA_GREEN
#c9c954,R87,PALE_YELLOW_GREEN
#a3c733,R88,LIGHT_GREEN
#1a8614,R89,MOSS_GREEN
#002600,R90,DARK_YELLOW_GREEN
#010f07,R91,PRIMARY_GREEN
#2c9363,R92,TURQUOISE
#144d51,R93,BLUE_GREEN
#002a13,R94,KELLY_GREEN
#00273d,R95,MEDIUM_BLUE_GREEN
#e5da12,R96,LIME
#857651,R97,LIGHT_GREY
#4a3e2e,R98,MEDIUM_GREY
#77431f,R99,CHOCOLATE
#670000,R120,RED_DIFFUSION
#010772,R121,BLUE_DIFFUSION
#001f00,R122,GREEN_DIFFUSION
#b60900,R123,AMBER_DIFFUSION
#410000,R124,RED_CYC_SILK
#010561,R125,BLUE_CYC_SILK
#001600,R126,GREEN_CYC_SILK
#8b0800,R127,AMBER_CYC_SILK
#200002,R128,MAGENTA_SILK
#010a6c,R129,SKY_BLUE_SILK
#000e18,R130,MEDIUM_BLUE_GREEN_SILK
#f59c62,R150,HAMBURG_ROSE
#112989,R152,HAMBURG_STEEL_BLUE
#fa973f,R304,PALE_APRICOT
#f39145,R305,ROSE_GOLD
#f6cc07,R310,DAFFODIL
#102bc00,R312,CANARY
#ea6e12,R316,GALLO_GOLD
#f95d00,R317,APRICOT
#e93e01,R318,MAYAN_SUN
#c64300,R321,SOFT_GOLDEN_AMBER
#c40611,R332,CHERRY_ROSE
#dd8a8e,R333,BLUSH_PINK
#e8688f,R337,TRUE_PINK
#8e0038,R339,BROADWAY_PINK
#89000b,R342,ROSE_PINK
#d60945,R343,NEON_PINK
#9c0974,R344,FOLLIES_PIUNK
#2b2998,R355,PALE_VIOLET
#523292,R356,MIDDLE_LAVENDER
#120070,R357,ROYAL_LAVENDER
#19005f,R358,ROSE_INDIGO
#0c0386,R359,MEDIUM_VIOLET
#6d7993,R360,CLEARWATER
#4c61ad,R362,TIPTON_BLUE
#61a0b7,R363,AQUAMARINE
#2e42a7,R364,BLUE_BELL
#32498a,R365,THARON_DELFT_BLUE
#1b43c2,R367,SLATE_BLUE
#006388,R370,ITALIAN_BLUE
#083176,R376,BERMUDA_BLUE
#151a89,R378,ALICE_BLUE
#020266,R383,SAPPHIRE_BLUE
#02003c,R385,ROYAL_BLUE
#95c517,R388,GASLIGHT_GREEN
#0e8114,R389,CHROMA_GREEN
#003437,R395,TEAL_GREEN
#bba56e,R397,PALE_GRE
